Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;49;11;4;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
CHU;Hpital Saint-Franois-d'Assise;51217602;34;45;9;2;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
CHU;L'Htel-Dieu de Qubec;51217586;15;14;0;0;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
CHU;Hpital de l'Enfant-Jsus;51233914;48;49;13;2;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
CHU;Hpital du Saint-Sacrement;51217529;22;24;0;0;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;12;0;0;00:00:00;2021-11-26T0:28; 00:00 ;-0.6;Light Snowshower;SW 5;NA;93
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;48;11;4;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
CHU;Hpital Saint-Franois-d'Assise;51217602;34;46;9;2;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
CHU;L'Htel-Dieu de Qubec;51217586;15;13;0;0;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
CHU;Hpital de l'Enfant-Jsus;51233914;48;52;13;2;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
CHU;Hpital du Saint-Sacrement;51217529;22;23;0;0;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;13;0;0;01:00:00;2021-11-26T1:28; 01:00 ;-0.7;Light Snowshower;calm;NA;95
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;47;11;4;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
CHU;Hpital Saint-Franois-d'Assise;51217602;34;47;9;3;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
CHU;L'Htel-Dieu de Qubec;51217586;15;15;0;0;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
CHU;Hpital de l'Enfant-Jsus;51233914;48;51;13;2;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
CHU;Hpital du Saint-Sacrement;51217529;22;23;0;0;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;13;0;0;02:00:00;2021-11-26T2:28; 02:00 ;-0.8;Light Snowshower;N 2;NA;97
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;48;11;4;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
CHU;Hpital Saint-Franois-d'Assise;51217602;34;46;9;3;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
CHU;L'Htel-Dieu de Qubec;51217586;15;15;0;0;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
CHU;Hpital de l'Enfant-Jsus;51233914;48;53;13;2;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
CHU;Hpital du Saint-Sacrement;51217529;22;24;0;0;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;16;0;0;03:00:00;2021-11-26T3:28; 03:00 ;-0.8;Light Snow;W 4;NA;97
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;48;11;4;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
CHU;Hpital Saint-Franois-d'Assise;51217602;34;45;9;3;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
CHU;L'Htel-Dieu de Qubec;51217586;15;15;0;0;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
CHU;Hpital de l'Enfant-Jsus;51233914;48;53;13;2;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
CHU;Hpital du Saint-Sacrement;51217529;22;24;0;0;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;17;0;0;04:00:00;2021-11-26T4:28; 04:00 ;-0.8;Light Snow;WSW 4;NA;99
